"SupplierDB","MainDB"
"whiskey","Brandy, cognac"
"red fruits","Currant, red, raw"
"pieces of crystallized violets","Apple pectin"
"salt pepper","Salt, table"
"redcurrant pulp","Currant, red, raw"
"emulsifying salts sodium polyphosphate (e452)","Apple pectin"
"e300.allergens in capitals","Apple pectin"
"strawbery powder","Strawberry, raw"
"lardons","Bacon, frying, raw"
"apricot puree","Apricot, raw"
"emulsifiers .","Apple pectin"
"calcium chloride. lincolnshire poacher","Apple pectin"
"anti-caking agent [ sodium hexacyanoferrate (e535)]","Apple pectin"
"pure cane sugar),sesame oil,roasted sesame seeds,maize starch,sea salt","Starch (corn)"
"garlic infused sunflower oil contains","Garlic, raw"
"vitamin a & d","Apple pectin"
"microbiological rennet","Animal fat"
"lychee pulp","Passion fruit"
"1 x 65g icing sugar pot .","Sugar, white"
"sodium acetate","Baking powder"
"mild cheddar  [milk]","Cheese, firm, Danbo, 45 % fidm."
"borettane onions","Onion, raw"
"edible pork casing","Pork, mince, 15-20% fat, raw"
"pork tripe","Pork, liver paste, Danish"
"potassium nitrate  e252","Apple pectin"
"biscuit cereals","Breakfast cereal, Havrefras"
"medium oatmeal","Oats, rolled, not enriched"
"jumbo oats","Oats, rolled, not enriched"
"egg. almond filling  . topping","Eggs, chicken, free-range hens (indoor), raw"
"yutaka tamari soya sauce","Beans, soy, dried, raw"
"preservative (trace) [natamycin (e235)]","Apple pectin"
"raising agent (ammonium carbonates).","Baking powder"
"turmeric (e100)","Tamarind"
"yogurt culture","Yeast, bakers, compressed"
"preservative [sodium nitrite (e250)].","Baking powder"
"monosodium glutamate e621","Apple pectin"
"iqf orange","Orange juice"
"beeswax (0.50x)","Honey"
"vinegar cider","Apple cider vinegar"
"coltures","Yeast, bakers, compressed"
"humectant","Apple pectin"
"hendersons relish","Ajvar, relish"
"ferments.","Apple pectin"
"liquid protein","Eggs, chicken, free-range hens (indoor), raw"
"nutritional yeast","Yeast, bakers, compressed"
"vegetarain rennet.","Vegetable fat"
"tahini (sesame) paste","Tahin, sesame paste"
"pasteurised skimmed cows milk","Milk, whole, 3.5 % fat"
"ewes milk","Goat milk"
"anchovy oil (fish)","Anchovies"
"beetroot puree","Beet, red, raw"
"sodium nitrite e250","Baking powder"
"rasins jumbo","Raisins, seedless"
"indigo carmine","Apple pectin"
"lemon powder","Lemon, raw"
"iberian blood","Air-dried meat"
"anise seed","Anise"
"sage extracts","Sage, dried"
"8","Water, tap, drinking, average values"
"salad mayonnaise","Mayonnaise"
"basil powder","Basil, dried"
"casing","Apple pectin"
"balsamic dressing","Balsamic vinegar"
"cocoa beans from venezuela","Cocoa butter"
"amarillo chilli powder","Pepper, hot chili, raw"
"glucose  syrup","Syrup, kitchen"
"iberico pig meat (ham)","Air-dried meat"
"blood orange juice from concentrate","Orange, raw"
"black currant","Currant, black, raw"
"maize","Starch (corn)"
"spices and seasoning","Spices"
"organic onion","Onion, raw"
"(xanthan gum)","Apple pectin"
"colombian cocoa","Cocoa butter"
"butter milk from goat","Buttermilk"
"unpasteurised goats milk.","Goat milk"
"e410","Apple pectin"
"mushroom concentrate","Mushroom, raw"
"almond flakes . inclusion","Almonds"
"poppy seeds.","Sesame seeds"
"rennet.","Animal fat"
"dairy culture","Yeast, bakers, compressed"
"distilled malt vinegar","Vinegar (Malt)"
"highmore (milk)","Milk, whole, 3.5 % fat"
"salt 2.0","Salt, table"
"wheat wafers contains","Wheat, flour, wholemeal"
"raspberry preparation sugar","Raspberry, raw"
"quinoline yellow (e104)","Apple pectin"
"dried sage","Sage, dried"
"caramel (e150a).","Apple pectin"
"goji wolfberries","Cranberry, raw"
"skimmed milk and skimmed milk solids","Milk, skimmed, 0.5 % fat"
"sodium acid pyrophosphate e450i","Apple pectin"
"chorizo iberico bellota","Air-dried meat"
"whole coriander seeds","Coriander, dried"
"sweet chilli seasoning contains","Pepper, hot chili, raw"
"concentrate (safflower and lemon)","Lemon, raw"
"ammonium carbonate","Apple pectin"
"black pudding mixed spices","Pork, sausage, Danish, raw"
"mature cheddar cheese","Cheese, firm, Danbo, 45 % fidm."
"grilled champignon mushrooms","Mushroom, raw"
"sheep and goats milk","Goat milk"
"vegetable oils in varying proportions","Oil, rape seed (no eruca acid)"
"carnauba wax","Apple pectin"
"green jalapeno chilli","Jalapenos"
"dextrose.","Apple pectin"
"stabiliser (agar agar)","Baking powder"
"smoke powder (smoke flavouring)","Paprika (powder)"
"light soy sauce","Soy sauce"
"preservatives e250","Apple pectin"
"organic fennel seeds","Fennel seeds"
"citric acid*","Apple pectin"
"cracked green peppercorn","Pepper, black"
"lactic starter bacteria","Yeast, bakers, compressed"
"vegetable food fibre","Vegetable fat"
"winslade (milk)","Milk, whole, 3.5 % fat"
"cheddar  contains","Cheese, firm, Danbo, 45 % fidm."
"ripening starters (penicillium + goetrichum)","Apple pectin"
"onion juice concentrate","Onion, raw"
"brie west country","Cheese, Brie, 45 % fidm."
"starter.","Yeast, bakers, compressed"
"preservative e250","Apple pectin"
"salt. antioxidant","Salt, table"
"vegetable wax","Vegetable fat"
"fruit flavourings","Strawberry, raw"
"red bell pepper juice concentrate","Pepper, sweet, red, raw"
"pork back fat","Pork, liver paste, Danish"
"orange liqueur","Brandy, cognac"
"monopotassium phosphate","Apple pectin"
"moorepak gubbeen rind flora","Apple pectin"
"juniper berry","Juniper berries"
"brown rice syrup.","Syrup, kitchen"
"cheedar cheese (raw milk)","Cheese, firm, Danbo, 45 % fidm."
"lime puree","Lime juice"
"potato flake","Potatoes, mashed, instant powder with dry milk"
"golden linseeds","Linseed"
"lion free range egg yolks","Eggs, chicken, free-range hens (indoor), raw"
"crushed ice","Water, tap, drinking, average values"
"lime zest - iqf","Lime juice"
"coppa","Sausage, salami"
"nictotinic acid","Apple pectin"
"pork collar","Pork, collar with rind, raw"
"protein powder","Plant paste, pea protein and mushroom"
"ground cassia cinnamon.","Cinnamon"
"basil puree  contains basil","Basil, fresh"
"organic and fairtrade pure ceylon black tea","Tea, leaves"
"calcium chloride. luna","Apple pectin"
"cashel blue cheese (milk)","Cheese, Danish Blue, 50 % fidm."
"flour treatment agent (ascorbic acid).","Wheat, flour, wholemeal"
"kibbled chillies","Pepper, hot chili, raw"
"pasteurised cows whole milk","Milk, whole, 3.5 % fat"
"boost","Apple pectin"
"chilli powder.","Pepper, hot chili, raw"
"port partially dealcoholized","Wine, red"
"chipotle chili","Pepper, hot chili, raw"
"crisps tortilla salted","Tortilla chips, cheese"
"thickener (e1422)","Apple pectin"
"surface mould","Yeast, bakers, compressed"
"gluten roast malt","Barley malt extract"
"stabiliser xanthan gum (e415)","Apple pectin"
"penicillium candium","Apple pectin"
"e300.","Apple pectin"
"natural smoke","Paprika (powder)"
"riboflavin (b2)","Apple pectin"
"beta-carotene","Apple pectin"
"pasteurised double cream  (milk)","Cream, cultured, 18 % fat"
"t.aestivum vitt","Apple pectin"
"membrillo","Apple pectin"
"brie cheese milk. shropshire blue","Cheese, Brie, 45 % fidm."
"whole chestnuts","Chestnut, raw"
"cider vinegar (sulphites)","Apple cider vinegar"
"alaska pollack (fish)","Saithe (UK), pollock (US), fillet, frozen"
"rice (cooked)","Rice, parboiled, raw"
"sodium ascorbate.","Baking powder"
"white peaches","Peach, raw"
"penicillin roquefort","Apple pectin"
"shropshire blue","Cheese, Danish Blue, 50 % fidm."
"wheat bran","Wheat, flour, wholemeal"
"double gloucester","Cheese, firm, Danbo, 45 % fidm."
"sodium ribonucleotides","Baking powder"
"spice extracts (black pepper)","Pepper, black"
"stabiliser (gellan gum)","Apple pectin"
"soya flour","Beans, soy, dried, raw"
"4-beta-xylanase","Apple pectin"
"rapeseed oil infused with english truffles","Oil, rape seed (no eruca acid)"
"(xylanase and alpha-amylase).","Apple pectin"
"methylcellulose","Apple pectin"
"quince puree","Quince"
"anti-caking agent e535.","Apple pectin"
"iqf yellow pepper","Pepper, sweet, red, raw"
"apple extract (sulphites)","Apple, raw, all varieties"
"cheese [microbial rennet]","Vegetable fat"
"free range lion hens eggs","Eggs, chicken, free-range hens (indoor), raw"
"anti-oxidant e301","Apple pectin"
"triose","Apple pectin"
"stuffing","Dumplings, average values"
"e141","Apple pectin"
"saccharose","Apple pectin"
"organic chamomile","Herbal tea"
"hard cheese  contains pasteurised cow's milk","Cheese, hard, Parmesan, 32 % fidm."
"peeled garlic","Garlic, raw"
"microbial  rennet","Animal fat"
"microbial  rennet .solstice","Animal fat"
"annato norbixin e160b","Apple pectin"
"smoked paprika seasoning","Paprika (powder)"
"gluten free crumb (pea flour)","Wheat, flour, wholemeal"
"flaked chilli","Pepper, hot chili, raw"
"heather honey","Honey"
". capsanthin","Apple pectin"
"powdered milk","Milk powder"
"cocoa beans from belize","Cocoa butter"
"ground fenugreek","Mustard seeds"
"wild garlic & seed truffle oil.","Garlic, raw"
"stabiliser blend - xanthan gum e415","Apple pectin"
"medium fat soft cheese (milk)","Cheese, Cream, 60 % fidm."
"paprika oil","Paprika (powder)"
"[potassium sorbate (e202)].","Apple pectin"
"prickly pear","Pear, raw"
"vitamin d","Apple pectin"
"gotchujang ketchup","Tomato ketchup, bottled"
"apple juice infused dried cranberries","Apple juice (no packaging)"
"gochugaru red pepper flakes","Pepper, hot chili, raw"
"balsamic vinegar of modena p.g.i.","Balsamic vinegar"
"preservative (e 250). made with 126g pork per 100g finished product.","Pork, collar with rind, raw"
"stablisers e450","Apple pectin"
"sunflower seed oil","Sunflower oil"
"e475","Apple pectin"
"red fruit yogurt  pear yogurt  peach yogurt .","Currant, red, raw"
"ras el hanout seasoning","Herbs, dried"
"extra virgin oilve oil","Olive oil"
"pasteurised skimmed milk & milk solid","Milk, skimmed, 0.5 % fat"
"waxed cheddar -organic milk","Cheese, firm, Danbo, 45 % fidm."
"cows","Milk, whole, 3.5 % fat"
"amylases","Apple pectin"
"milk ferments","Milk, whole, 3.5 % fat"
"porcini mushrooms","Mushroom, raw"
"chia seeds","Chia"
"preservative (sulphur dioxide).","Apple pectin"
"barber's cheddar","Cheese, firm, Danbo, 45 % fidm."
"vegetarian rennet 0.15","Vegetable fat"
"raspberry puree  13","Raspberry, raw"
"truffle magnatum","Truffle"
"strathdon blue cheese","Cheese, Danish Blue, 50 % fidm."
"sun dried tomato paste","Tomato paste, concentrated"
"anti- caking agent","Apple pectin"
"kibbled onions","Onion, raw"
"lincolnshire poacher (milk)","Cheese, firm, Danbo, 45 % fidm."
"whey from pasteurized cows milk","Whey powder"
"stabiliser (methylcellulose)","Apple pectin"
"glucono-delta-lactone (e575)","Apple pectin"
"yellow raisin","Raisins, seedless"
"native starch","Starch (corn)"
"cane sugar*","Sugar, white"
"spelt & fig biscuit","Wheat, kernels, whole/cracked"
"pateurised goat's milk","Goat milk"
"tahini paste [sesame seeds]","Tahin, sesame paste"
"folic acid.","Apple pectin"
"food acid","Apple pectin"
"preservative (e325)","Apple pectin"
"ground cumin], cracked black pepper, smoked paprika, ground cinnamon, preservative, potassium sorbate","Cumin"
"oat","Oats, rolled, not enriched"
"millet flake","Millet"
"stabiliser [starch]","Starch (corn)"
"garlic aroma","Garlic, raw"
"starter culture-dvi(microbial) (0.01)","Yeast, bakers, compressed"
"pasteurised cow's milk.","Milk, whole, 3.5 % fat"
"pasteurised cow's milk 97.94","Milk, whole, 3.5 % fat"
"burgundy marc bourgogne","Brandy, cognac"
"goats' whole milk (animal) (>99)","Goat milk"
"dates. the manufacturer of the dates handles nuts","Dates"
"lutein","Apple pectin"
"seasoning  . thickener","Apple pectin"
"non hydrogenated rapeseed oil","Oil, rape seed (no eruca acid)"
"maltose","Barley malt extract"
"roasted almonds","Almonds"
"pork heart and pork liver","Pork, liver paste, Danish"
"kilbeggan whiskey","Brandy, cognac"
"palm / rapeseed oil","Palm oil"
"pear flavoring","Pear, raw"
"spiced vinegar fig","Apple cider vinegar"
"wild roquette","Rocket salad, rinsed"
"aromatic plant","Apple pectin"
"garlic granules","Garlic, raw"
"natural damson plum flavouring","Plum, raw"
"rhubarb yogurt - milk","Yogurt plain, whole milk"
"sodium nitrite e251","Baking powder"
"smoked cheddar - organic milk","Cheese, firm, Danbo, 45 % fidm."
"grinded vanilla beans","Vanilla beans"
"anticaking agent (e535)","Apple pectin"
"antioxidant; ascorbic acid","Apple pectin"
"mozzarella cheese (buffalo milk)","Cheese, semihard, Mozzarella, 30 % fidm."
"acidity","Apple pectin"
"fruit juices from concentrate","Fruit juice, mixed, sweetened, concentrated"
"ruby port contains","Wine, red"
"cooked grape must*","Grape, raw"
"partially dealcoholised port","Wine, red"
"starter cultute","Yeast, bakers, compressed"
"sweetners(asparatame acesuifome)","Sugar, white"
"barley malt flavouring","Barley malt extract"
"potable water","Water, tap, drinking, average values"
"wholegrain mustard  contains water","Mustard, yellow, ready made"
"inverted sugar syrup","Syrup, kitchen"
"ground mustard","Mustard, yellow, ready made"
"yorkshire blue cheese (cow milk).","Cheese, firm, Danbo, 45 % fidm."
"pear flavouring","Pear, raw"
"salt. stabiliser","Salt, table"
"organic cider.","Cider 4.5%"
"ground cinnamon.","Cinnamon"
"beef heart","Beef, rump, raw"
"white pepper.","Pepper, black"
"guar gum (e412)","Apple pectin"
"cream cheese","Cheese, Cream, 60 % fidm."
"ripening bacteria","Yeast, bakers, compressed"
"sesame seeds (indian hulled)","Sesame seeds"
"quickes mature cheddar (milk)","Cheese, firm, Danbo, 45 % fidm."
"concentrated grape juice","Grape juice"
"summer truffle","Truffle"
"chip shop curry sauce","Curry paste"
"natural damson flavouring. rosary goat cheese","Cheese, semihard, Feta, 40 % fidm"
"emulsifier [mono- en diglycerides of fatty acids]","Apple pectin"
"starter  culture","Yeast, bakers, compressed"
"mixed spice","Spices"
"wild mushroom stock","Mushroom, raw"
"free range dried egg white","Eggs, chicken, free-range hens (indoor), raw"
"sodium hydrogen sulphite","Baking powder"
"dextrine","Apple pectin"
"mirabelle plums","Plum, raw"
"cheddar westcombe cheese (unpasteurised cow's milk)","Cheese, firm, Danbo, 45 % fidm."
"brie costwold cheese (milk)","Cheese, Brie, 45 % fidm."
"onion marmalade","Onion, raw"
"rubbed sage","Sage, dried"
"flavouring (hazelnut)","Apple pectin"
"wine-vinegar","Sherry vinegar"
"black gaeta olives","Olives, black, without stones, in brine"
"parsely","Parsley, dried"
"parsley - freeze dried","Parsley, dried"
"cornish yarg(milk)","Cheese, firm, Danbo, 45 % fidm."
"sugar esters of fatty acids","Sugar, white"
"amarant grain","Apple pectin"
"cashel blue","Cheese, Danish Blue, 50 % fidm."
"anchovy fillets","Anchovies"
"phosphoric acid (e338)","Apple pectin"
"clara goat","Goat milk"
"colouring (e 150a).","Apple pectin"
"milk minerals concentrate.","Milk, whole, 3.5 % fat"
"cod fillet  (fish)","Cod, fillet, raw"
"salt 1.60","Salt, table"
"red sweet peppers  (1.3)","Pepper, sweet, red, raw"
"whole milk powder emulsifier","Milk powder"
"rye flour sourdough","Rye flour, dark, whole meal"
"pimiento","Cherry, raw"
"calcium chloride; mint natural flavour","Mint, dried"
"basil leaf","Basil, fresh"
"pork based protein","Pork, mince, 15-20% fat, raw"
"whey milk","Whey powder"
"organic ceylon black tea","Tea, leaves"
"invertase e1103","Apple pectin"
"emulsifier (glycerol esters of wood rosins)","Apple pectin"
"cherry plum brandy","Brandy, cognac"
"vegetarian rennet contains preservative (<1ppm) [sodium benzoate (e211)]","Vegetable fat"
"pork ham","Pork, ham, boiled, sliced"
"gellied rum","Apple pectin"
"tabasco pepper pulp","Tabasco"
"anti-oxidant (sodium ascorbate)","Baking powder"
"champignon mushroom agaricus bisporus","Mushroom, raw"
"safflower extract","Safflower oil"
"dietary fibre","Apple pectin"
"redcurrant puree","Currant, red, raw"
"start anise","Star anise"
"allergens highlighted in uppercase","Apple pectin"
"strawberry pure","Strawberry, raw"
"acidity stabilizer","Apple pectin"
"antioxidant (e301).","Apple pectin"
"natural colours","Apple pectin"
"roasted garlic flakes","Garlic, raw"
"capsanthian","Apple pectin"
"e450(i)","Apple pectin"
"demerara","Sugar, brown"
"bay leaves)","Basil, dried"
"wild garlic leaves","Garlic, raw"
"nitrate salt","Salt, table"
"curcumin; tumeric","Tamarind"
"fd&c blue n . 1 (e133)","Apple pectin"
"sodium metabisulphite <10ppm)), ground cayenne , salt (anti-caking agent, sodium ferrocyanide)), preservative (acetic acid)), paprika extract, potato starch ,refined rapeseed (rapeseed oil, processing aid, citric acid ),mirin seasoning (glycose syrup, water, spirit vinegar, fermented rice alcohol (water, rice, alcohol, salt , acidity regulator, citric acid, rise malt), sugar, acidity regulator, citric acid ,cane molasses ,sesame oil,,garlic puree,,white sesame seeds,","Apple cider vinegar"
"almond paste","Almonds"
"pimiento  acidity regulator","Cherry, raw"
"aromatic herbs","Herbs, dried"
"gochugaru korean chilli flakes","Pepper, hot chili, raw"
"tor pyramid","Apple pectin"
"kirkhams lancashire cheese . the product may present traces of natural mould.","Cheese, firm, Danbo, 45 % fidm."
"cream cheese flavour icing","Cheese, firm, Danbo, 45 % fidm."
"colour (e100)","Apple pectin"
"cheese contains","Cheese, firm, Danbo, 45 % fidm."
"blue stilton cheese (milk).","Cheese, Brie, 45 % fidm."
"salt starter culture","Yeast, bakers, compressed"
"lime leaves","Lime juice"
"veg provolone dolce (pasteurised cow's milk)","Milk, whole, 3.5 % fat"
"e220 sulphites","Apple pectin"
"colour (beta carotene) flavouring","Apple pectin"
"emulsifier (mono- and diglycerides of fatty acids e471)","Apple pectin"
"ground cinnamon ht ground cardamom ht","Cinnamon"
"mmlk","Milk, whole, 3.5 % fat"
"emulsifying salt","Salt, table"
"antioxidant [ascorbic acid (300)]","Apple pectin"
"riso carnaroli","Apple pectin"
"mixed spices .may contain apricot pit fragments.","Apricot, dried"
"processing aids silicon dioxide (anti-caking agent)","Apple pectin"
"salt. brine contains","Salt, table"
"white stilton & apricot (milk)","Cheese, Brie, 45 % fidm."
"natural black pepper flavouring","Pepper, black"
"biscuit cereals  11","Breakfast cereal, Havrefras"
"tamarind concentrate","Tamarind"
"pecans.","Cashew nuts, dry roasted"
"smoke afs","Paprika (powder)"
"apple infused dried blueberries","Apple, raw, all varieties"
"butter.","Butter, salt added"
"dark chocolate","Chocolate, dark"
"grated vegetarian hard cheese contains pasteurised cow's milk","Cheese, hard, Parmesan, 32 % fidm."
"natamycin e235","Apple pectin"
"worcestershire sauce","Sauce, barbeque"
"dried tomato powder","Tomato paste, concentrated"
"emulsifier (e471)","Apple pectin"
"skin-on |salt","Salt, table"
"seville orange","Orange, raw"
"biscuit cereals  contains","Breakfast cereal, Havrefras"
"pear","pear, raw"
"gluten","gluten (wheat)"
"ginger","ginger root, raw"
"olive","Olives, green, pickled, canned"
"whole milk","Milk, whole, 3.5 % fat"
"kale","kale, raw"
"soy bean","Beans, soy, dried, raw"
"eggs","Eggs, chicken, free-range hens (indoor), raw"
"lime","lime, raw"
"peach","peach, raw"
"red oak leaf","red oak leaf salad"
"cucumber","cucumber, raw"
"strawberry","Strawberry, raw"
"cherry","cherry, raw"
"avocado","avocado, raw"
"port","Wine, red"
"brown sugar","Sugar, brown"
"soybean","Beans, soy, dried, raw"
"zucchini","courgette (zucchini)"
"fennel seed","fennel seeds"
"strawberries","Strawberry, raw"
"beans","Beans, green, raw"
"rapeseed","rapeseed oil"
"salmon","salmon trout"
"beetroot","Beet, red, raw"
"yeast","yeast, bakers, compressed"
"artichokes","marinated artichokes"
"pineapple","pineapple, raw"
"walnuts","walnuts, dried"
"peanuts","peanuts, oilroasted and salted"
"chilli","Pepper, hot chili, raw"
"with added calcium","oatmilk, with added calcium"
"onions","Onion, raw"
"chickpeas","chickpeas, canned"
"peppers","Pepper, sweet, red, raw"
"cider vinegar","apple cider vinegar"
"whey","whey powder"
"almond","almonds"
"courgette","courgette (zucchini)"
"nettle","nettles"
"chives","chives, raw"
"liquor","Vodka"
"dark","chocolate, dark"
"cauliflower","Cauliflower, all varieties, raw"
"parsley","parsley, raw"
"mustard","mustard seeds"
"grape","grape, raw"
"cassava","cassava, raw"
"barley","barley groats, raw"
"radish","radish, raw"
"yoghurt","natural yoghurt"
"mushroom","mushroom, raw"
"walnut","Walnuts, dried"
"bacon","Bacon, frying, raw"
"acid","oil, rape seed (no eruca acid)"
"sundried tomato","sundried tomatoes"
"chorizo","Chorizo, sliced"
"tuna","tuna, raw"
"brandy","brandy, cognac"
"cashew nuts","cashew nuts, dry roasted"
"black","black beans"
"lemon","lemons"
"concentrate","tomato paste, concentrated"
"chive","chives, raw"
"porto","Wine, red"
"relish","ajvar, relish"
"parsnip","parsnips"
"calcium","Apple pectin"
"dried","dill, dried"
"banana","banana, raw"
"celery","celery, raw"
"palm","palm oil"
"blackberry","blackberry, raw"
"animal","animal fat"
"clove","cloves"
"brie","cheese, brie, 45 % fidm."
"sesame seed","sesame seeds"
"pork","Pork, mince, 5-10% fat, raw"
"spice","spices"
"grapes","Grape, raw"
"vinegar","Vinegar (Malt)"
"carrot","carrot, raw"
"tomato ketchup","tomato ketchup, bottled"
"mango","mango, raw"
"dough","pizza dough"
"plum","plum, raw"
"juniper","juniper berries"
"pea protein","plant paste, pea protein and mushroom"
"wild mushroom","wild mushrooms"
"cow's milk","Milk, whole, 3.5 % fat"
"wheat","Wheat, kernels, whole/cracked"
"turnip","turnip, raw"
"chickpea","chickpeas, canned"
"cocoa","cocoa paste"
"sesame","sesame oil"
"corn","corn cob"
"raspberry","Raspberry, raw"
"oregano","oregano, dried"
"yogurt","yogurt plain, whole milk"
"crispbread","crispbread, knackebrot, rye, coarse"
"mushrooms","wild mushrooms"
"blueberry","Blueberries, raw"
"pastry","Puff pastry (vegetable fats)"
"flour","Wheat, flour, wholemeal"
"broccoli","broccoli, raw"
"mustard seed","mustard seeds"
"peanut","Peanuts, oilroasted and salted"
"dill","dill, raw"
"herbs","herbs, dried"
"rosemary","rosemary, dried"
"vanilla","vanilla beans"
"fruit","Strawberry, raw"
"alcohol","vodka"
"stock","vegetable stock"
"seed oil","rapeseed oil"
"brine","Salt, table"
"spelt","green spelt wholemeal"
"natural","natural yoghurt"
"thyme","thyme, dried"
"malt extract","barley malt extract"
"hazelnut","Hazelnut, dried"
"apple juice","Apple juice (no packaging)"
"chutney","mango chutney"
"spinach","spinach, raw"
"pears","Pear, raw"
"carbon","Apple pectin"
"wheat flour","Wheat, flour, wholemeal"
"cabbage","Cabbage, white, raw"
"cashew","cashew nuts, dry roasted"
"liquorice","liquorice, salt"
"basil","basil, fresh"
"rhubarb","rhubarb, raw"
"pistachio","pistachios"
"date","dates"
"sunflower","sunflower oil"
"chicken","minced chicken"
"olives","olives, green, pickled, canned"
"gherkin","gherkin, pickled"
"chocolate","chocolate, milk"
